time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all
10:24:41,3/18/2023,2,AK,Ag,M163,,,JVUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
7:46:17,3/19/2023,1,CC,Ag,M202,,,M133,M162,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:12:28,3/19/2023,1,CC,Ag,M162,,,M013,M066,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:13:27,3/19/2023,1,CC,Ag,M223,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
8:18:44,3/19/2023,2,AK,Ag,M067,MUN,,M077,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:21:01,3/19/2023,1,CC,M,M194,,,FUN,,,R,NA,No Value,NA,NA,NA,1,6,1,14
8:23:05,3/19/2023,1,CC,Ag,FUN,FUN,FUN,M042,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
8:41:51,3/19/2023,1,CC,M,M097,,,FUN,,,Gr,NA,No Value,Intro,PE,Ejac,7,3,0,7
8:51:54,3/19/2023,1,CC,M,M168,,,M162,,,R,NA,No Value,Intro,2PE,Ejac,7,1,0,1
8:52:40,3/19/2023,1,CC,M,M168,,,M202,,,R,NA,No Value,Intro,2PE,NA,12,1,0,1
8:55:58,3/19/2023,1,CC,M,M082,,,FUN,,,R,NA,No Value,NA,NA,NA,5,3,0,4
9:04:38,3/19/2023,2,AK,Ag,M114,M010,,M155,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:17:19,3/19/2023,2,AK,M,M114,,,FUN,,,Ag,NA,No Value,NoIntro,NoPE,NoEjac,1,16,NA,23
9:18:16,3/19/2023,1,CC,Ag,M205,,,M006,M223,JVUN,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
9:32:52,3/19/2023,2,AK,Ag,M007,M206,M225,MUN,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
9:44:04,3/19/2023,1,CC,M,M141,,,FUN,,,R,NA,No Value,NA,PE,NoEjac,6,6,2,8
9:48:49,3/19/2023,1,CC,M,M076,,,FUN,,,R,NA,No Value,NA,NA,NA,2,6,2,8
