time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
9:47:10,3/20/2023,2,AK,Ag,M044,NA,NA,M148,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:50:50,3/20/2023,2,AK,Ag,M187,NA,NA,M148,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:08:28,3/20/2023,1,CC,Ag,M188,M150,NA,M064,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:09:07,3/20/2023,2,AK,Ag,M175,M303,NA,M035,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:37:25,3/20/2023,1,CC,Ag,M151,NA,NA,M034,M303,M303,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:38:08,3/20/2023,2,AK,Ag,M187,NA,NA,M210,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:55:09,3/20/2023,2,AK,Ag,M160,NA,NA,M245,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:21:19,3/20/2023,1,CC,Ag,M162,NA,NA,M162,M303,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:28:34,3/20/2023,2,AK,Ag,M187,NA,NA,M210,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
12:40:24,3/20/2023,1,CC,M,M192,NA,NA,M168,NA,NA,Gr,NA,No Value,NA,NA,NA,2,3,0,8,NA,NA
13:05:27,3/20/2023,1,CC,Ag,M013,M027,NA,M011,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:08:38,3/20/2023,2,AK,M,M041,NA,NA,M245,NA,NA,Gr,NA,No Value,NoIntro,PE,NoEjac,3,0,0,0,NA,NA
13:13:53,3/20/2023,1,CC,M,M143,NA,NA,M029,NA,NA,NA,IgnoreRejection,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:30:28,3/20/2023,1,CC,Ag,M066,NA,NA,M059,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
13:47:02,3/20/2023,2,AK,Ag,M193,NA,NA,M210,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
7:56:36,3/21/2023,2,AK,Ag,M114,NA,NA,M138,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
